,code,date,Open,High,Low,Close,Diff,Volume,diff
167,000040,2018-03-08,542,568,541,561,17,272164,1.0017857142857143
168,000040,2018-03-09,560,572,557,571,10,396298,0.9913194444444444
169,000040,2018-03-12,576,582,572,579,8,388265,1.0017301038062283
170,000040,2018-03-13,578,581,572,579,0,236999,1.0284191829484903
171,000040,2018-03-14,563,734,560,613,34,11483345,1.0
172,000040,2018-03-15,613,623,600,617,4,1224334,1.0
173,000040,2018-03-16,617,652,602,615,2,2680026,1.0
174,000040,2018-03-19,615,615,571,576,39,1263475,0.9982668977469671
175,000040,2018-03-20,577,585,568,584,8,486458,1.0034364261168385
176,000040,2018-03-21,582,652,580,596,12,4291310,1.0067567567567568
177,000040,2018-03-22,592,601,579,595,1,782109,1.0
178,000040,2018-03-23,595,595,572,581,14,710915,1.0192982456140351
179,000040,2018-03-26,570,590,562,587,6,564677,0.9882154882154882
180,000040,2018-03-27,594,594,560,568,19,645522,1.0
181,000040,2018-03-28,568,576,558,559,9,550473,1.0072072072072071
182,000040,2018-03-29,555,568,554,565,6,283268,0.9964726631393298
183,000040,2018-03-30,567,577,557,577,12,367099,0.9948275862068966
184,000040,2018-04-02,580,585,568,570,7,326868,1.0017574692442883
185,000040,2018-04-03,569,631,564,596,26,4133798,1.0067567567567568
186,000040,2018-04-04,592,615,587,592,4,971938,0.9899665551839465
187,000040,2018-04-05,598,618,586,616,24,1472549,1.0016260162601627
188,000040,2018-04-06,615,655,607,623,7,2135708,1.0064620355411955
189,000040,2018-04-09,619,622,607,607,16,753952,1.0033057851239668
190,000040,2018-04-10,605,607,590,598,9,439883,0.9933554817275747
191,000040,2018-04-11,602,613,595,606,8,416762,1.0
192,000040,2018-04-12,606,613,599,612,6,312753,1.0
193,000040,2018-04-13,612,619,607,613,1,435766,1.0016339869281046
194,000040,2018-04-16,612,636,611,613,0,703263,0.9967479674796748
195,000040,2018-04-17,615,624,607,623,10,669412,0.9968
196,000040,2018-04-18,625,639,594,620,3,804579,1.0214168039538716
197,000040,2018-04-19,607,620,606,620,0,740289,0.9935897435897436
198,000040,2018-04-20,624,692,618,682,62,4462058,1.017910447761194
199,000040,2018-04-23,670,700,653,679,3,2261629,1.0
200,000040,2018-04-24,679,688,662,686,7,1075763,1.0
201,000040,2018-04-25,686,729,684,710,24,3077645,1.0099573257467995
202,000040,2018-04-26,703,715,665,669,41,1382514,0.9985074626865672
203,000040,2018-04-27,670,677,653,674,5,756936,0.9985185185185185
204,000040,2018-04-30,675,679,643,667,7,1104461,1.0405616224648986
205,000040,2018-05-02,641,664,641,645,22,868453,0.9938366718027735
206,000040,2018-05-03,649,690,645,682,37,1527065,0.9912790697674418
207,000040,2018-05-04,688,691,665,676,6,884588,1.0
208,000040,2018-05-08,676,677,647,647,29,646346,0.9908116385911179
209,000040,2018-05-09,653,689,620,689,42,1113442,1.0102639296187683
210,000040,2018-05-10,682,720,664,709,20,1330152,0.9806362378976486
211,000040,2018-05-11,723,740,687,720,11,1468400,1.0027855153203342
212,000040,2018-05-14,718,725,701,714,6,609373,1.0014025245441796
213,000040,2018-05-15,713,738,694,717,3,1073637,1.0098591549295775
214,000040,2018-05-16,710,730,680,724,7,1190075,0.9931412894375857
215,000040,2018-05-17,729,745,708,724,0,920274,1.0055555555555555
216,000040,2018-05-18,720,730,698,725,1,1101295,0.9945130315500685
217,000040,2018-05-21,729,737,715,727,2,425171,1.0
218,000040,2018-05-23,727,732,715,730,3,408021,1.0
219,000040,2018-05-24,730,730,700,705,25,285455,1.0217391304347827
220,000040,2018-05-25,690,695,665,695,10,742423,1.0145985401459854
221,000040,2018-05-28,685,738,670,702,7,1022451,1.0
222,000040,2018-05-29,702,725,685,704,2,487920,1.0014224751066856
223,000040,2018-05-30,703,718,690,703,1,331771,1.0
224,000040,2018-05-31,703,728,690,722,19,557699,1.0027777777777778
225,000040,2018-06-01,720,743,717,737,15,983862,1.0095890410958903
226,000040,2018-06-04,730,750,725,744,7,375650,0.9973190348525469
227,000040,2018-06-05,746,751,735,745,1,543586,0.9933333333333333
228,000040,2018-06-07,750,757,727,756,11,781812,0.9947368421052631
229,000040,2018-06-08,760,760,731,750,6,540495,1.0204081632653061
230,000040,2018-06-11,735,750,730,735,15,388227,0.9919028340080972
231,000040,2018-06-12,741,741,707,733,2,533592,1.0041095890410958
232,000040,2018-06-14,730,750,718,747,14,331938,1.0
233,000040,2018-06-15,747,750,733,747,0,426734,1.0232876712328767
234,000040,2018-06-18,730,746,708,743,4,495178,1.0040540540540541
235,000040,2018-06-19,740,745,701,743,0,1081837,1.0040540540540541
236,000040,2018-06-20,740,742,720,737,6,594813,1.0
237,000040,2018-06-21,737,737,700,716,21,413284,1.031700288184438
238,000040,2018-06-22,694,716,649,698,18,796135,1.0219619326500733
239,000040,2018-06-25,683,683,652,671,27,209881,1.0197568389057752
240,000040,2018-06-26,658,670,631,642,29,539461,1.019047619047619
241,000040,2018-06-27,630,658,628,628,14,300509,1.0178282009724473
242,000040,2018-06-28,617,628,585,603,25,477689,0.9901477832512315
243,000040,2018-06-29,609,614,584,603,0,271410,1.0016611295681064
244,000040,2018-07-02,602,603,572,576,27,219126,1.0
245,000040,2018-07-03,576,593,560,578,2,220122,1.0
246,000040,2018-07-04,578,583,560,566,12,224529,1.0089126559714796
247,000040,2018-07-05,561,572,543,569,3,345651,1.021543985637343
248,000040,2018-07-06,557,571,553,571,2,147877,1.0
249,000040,2018-07-09,571,678,561,637,66,3060731,1.001572327044025
250,000040,2018-07-10,636,649,619,638,1,430119,1.0015698587127158
251,000040,2018-07-11,637,637,620,635,3,261137,1.0
252,000040,2018-07-12,635,650,622,633,2,181119,1.011182108626198
253,000040,2018-07-13,626,639,616,630,3,161576,1.0
254,000040,2018-07-16,630,635,615,632,2,228238,1.0
255,000040,2018-07-17,632,638,621,630,2,216673,0.9968354430379747
256,000040,2018-07-18,632,637,609,619,11,191454,1.0
257,000040,2018-07-19,619,619,599,609,10,195086,1.0
258,000040,2018-07-20,609,609,585,600,9,384630,1.0
259,000040,2018-07-23,600,614,578,596,4,240904,0.9966555183946488
260,000040,2018-07-24,598,603,578,591,5,214796,1.0154639175257731
261,000040,2018-07-25,582,595,573,586,5,174364,1.0
262,000040,2018-07-26,586,595,573,589,3,150994,1.0
263,000040,2018-07-27,589,595,569,590,1,309817,1.0085470085470085
264,000040,2018-07-30,585,591,577,586,4,236338,1.0034246575342465
265,000040,2018-07-31,584,591,576,585,1,86110,1.0
266,000040,2018-08-01,585,588,577,585,0,188319,1.0
267,000040,2018-08-02,585,590,575,584,1,205214,1.0017152658662092
268,000040,2018-08-03,583,586,575,584,0,447710,1.0
269,000040,2018-08-06,584,587,574,583,1,166740,1.0
270,000040,2018-08-07,583,585,577,584,1,90792,0.9982905982905983
271,000040,2018-08-08,585,587,577,583,1,127560,1.0051724137931035
272,000040,2018-08-09,580,586,573,580,3,546640,1.0
273,000040,2018-08-10,580,584,571,579,1,249721,1.0
274,000040,2018-08-13,579,583,566,577,2,270520,1.005226480836237
275,000040,2018-08-14,574,584,540,582,5,954830,1.0
276,000040,2018-08-16,582,585,562,575,7,292741,1.0017421602787457
277,000040,2018-08-17,574,578,566,575,0,262421,1.0017421602787457
278,000040,2018-08-20,574,580,558,573,2,502469,1.0
279,000040,2018-08-21,573,575,565,572,1,206315,0.9982547993019197
280,000040,2018-08-22,573,575,552,570,2,416793,0.9947643979057592
281,000040,2018-08-23,573,573,541,556,14,809125,1.0018018018018018
282,000040,2018-08-24,555,555,520,536,20,1089880,0.9354275741710296
283,000040,2018-08-27,573,598,555,564,28,1905729,1.0071428571428571
284,000040,2018-08-28,560,569,553,562,2,364044,1.0017825311942958
285,000040,2018-08-29,561,561,535,547,15,708441,1.005514705882353
286,000040,2018-08-30,544,559,543,552,5,360870,1.0018148820326678
287,000040,2018-08-31,551,622,549,587,35,3553175,1.0208695652173914
288,000040,2018-09-03,575,602,573,600,13,884469,1.0
289,000040,2018-09-04,600,620,595,615,15,698628,1.0081967213114753
290,000040,2018-09-05,610,619,596,605,10,675391,1.0
291,000040,2018-09-06,605,614,595,600,5,259866,1.0
292,000040,2018-09-07,600,607,585,604,4,257234,1.0
293,000040,2018-09-10,604,609,593,600,4,292570,1.0
294,000040,2018-09-11,600,607,597,603,3,269159,1.0
295,000040,2018-09-12,603,611,602,606,3,223893,1.0
296,000040,2018-09-13,606,665,603,613,7,1838743,0.9887096774193549
297,000040,2018-09-14,620,620,607,613,0,233539,1.0165837479270314
298,000040,2018-09-17,603,610,598,601,12,248730,1.0016666666666667
299,000040,2018-09-18,600,604,585,595,6,241386,0.9900166389351082
300,000040,2018-09-19,601,601,573,573,22,378151,1.0
301,000040,2018-09-20,573,576,550,556,17,270888,1.0
302,000040,2018-09-21,556,562,550,562,6,140747,1.0017825311942958
303,000040,2018-09-27,561,570,544,569,7,439121,0.9912891986062717
304,000040,2018-09-28,574,600,570,586,17,575600,1.0191304347826087
305,000040,2018-10-01,575,596,573,589,3,351207,0.9932546374367622
306,000040,2018-10-02,593,619,593,605,16,356353,1.0
307,000040,2018-10-04,605,619,587,608,3,425874,1.0133333333333334
308,000040,2018-10-05,600,615,587,603,5,265456,1.0151515151515151
309,000040,2018-10-08,594,599,568,572,31,347149,1.025089605734767
310,000040,2018-10-10,558,613,547,607,35,528116,1.0049668874172186
311,000040,2018-10-11,604,605,577,580,27,775538,0.9965635738831615
312,000040,2018-10-12,582,593,575,593,13,160560,0.9932998324958124
313,000040,2018-10-15,597,606,582,600,7,178912,1.0
314,000040,2018-10-16,600,620,593,601,1,284083,1.0
315,000040,2018-10-17,601,605,595,604,3,87239,0.9966996699669967
316,000040,2018-10-18,606,607,584,604,0,297241,1.0134228187919463
317,000040,2018-10-19,596,645,596,618,14,595613,0.9686520376175548
318,000040,2018-10-22,638,638,587,625,7,482240,1.0
319,000040,2018-10-23,625,638,608,619,6,278720,1.0
320,000040,2018-10-24,619,619,587,610,9,275855,1.0321489001692048
321,000040,2018-10-25,591,604,584,600,10,144154,0.9983361064891847
322,000040,2018-10-26,601,601,554,580,20,623096,1.030195381882771
323,000040,2018-10-29,563,582,530,573,7,350759,1.0710280373831775
324,000040,2018-10-30,535,570,535,570,3,572731,1.0160427807486632
325,000040,2018-10-31,561,569,553,558,12,175060,1.0
326,000040,2018-11-01,558,562,531,533,25,581592,0.9962616822429906
327,000040,2018-11-02,535,552,534,552,19,361040,1.0036363636363637
328,000040,2018-11-05,550,565,538,545,7,141134,1.0018382352941178
329,000040,2018-11-06,544,553,533,534,11,138379,1.00187617260788
330,000040,2018-11-07,533,550,524,524,10,303028,0.9943074003795066
331,000040,2018-11-08,527,542,524,532,8,245901,1.0075757575757576
332,000040,2018-11-09,528,543,524,528,4,161941,1.0
333,000040,2018-11-12,528,537,524,525,3,160559,1.0
334,000040,2018-11-13,525,533,521,529,4,80423,0.9943609022556391
335,000040,2018-11-14,532,543,526,527,2,103135,1.0057251908396947
336,000040,2018-11-15,524,534,507,530,3,338867,1.0
337,000040,2018-11-16,530,546,517,527,3,177151,0.9981060606060606
338,000040,2018-11-19,528,532,521,522,5,80730,0.9942857142857143
339,000040,2018-11-20,525,525,510,515,7,131879,1.013779527559055
340,000040,2018-11-21,508,515,496,511,4,157388,0.9922330097087378
341,000040,2018-11-22,515,519,505,508,3,55036,1.0
342,000040,2018-11-23,508,515,505,506,2,59838,1.001980198019802
343,000040,2018-11-26,505,516,495,516,10,266070,0.9942196531791907
344,000040,2018-11-27,519,519,510,518,2,41832,1.01171875
345,000040,2018-11-28,512,519,507,512,6,89990,1.0
346,000040,2018-11-29,512,527,509,511,1,117947,1.0
347,000040,2018-11-30,511,518,508,512,1,100065,1.0
348,000040,2018-12-03,512,515,508,513,1,102146,0.9941860465116279
349,000040,2018-12-04,516,517,508,516,3,101772,1.0019417475728156
350,000040,2018-12-05,515,515,507,514,2,54133,1.0118110236220472
351,000040,2018-12-06,508,514,504,505,9,120505,0.9940944881889764
352,000040,2018-12-07,508,516,504,510,5,124050,0.9902912621359223
353,000040,2018-12-10,515,521,500,504,6,250222,1.00398406374502
354,000040,2018-12-11,502,510,494,498,6,114886,1.0040322580645162
355,000040,2018-12-12,496,506,494,501,3,175021,1.0
356,000040,2018-12-13,501,512,494,509,8,137513,0.9980392156862745
357,000040,2018-12-14,510,517,503,510,1,211444,0.9922178988326849
358,000040,2018-12-17,514,527,508,524,14,403745,1.0
359,000040,2018-12-18,524,534,520,529,5,369992,0.8729372937293729
360,000040,2018-12-19,606,619,515,520,9,2645838,0.9904761904761905
361,000040,2018-12-20,525,525,506,518,2,405955,1.001934235976789
362,000040,2018-12-21,517,517,497,515,3,285523,1.0198019801980198
363,000040,2018-12-24,505,510,502,508,7,218930,1.0139720558882235
364,000040,2018-12-26,501,510,489,508,0,347693,1.0
365,000040,2018-12-27,508,514,489,500,8,419728,0.998003992015968
366,000040,2018-12-28,501,502,478,500,0,1082604,0.9900990099009901
367,000040,2019-01-02,505,506,492,500,0,1860838,1.002004008016032
368,000040,2019-01-03,499,505,490,503,3,197658,1.0
369,000040,2019-01-04,503,510,496,503,0,99162,1.0
370,000040,2019-01-07,503,511,497,504,1,138286,0.9921259842519685
371,000040,2019-01-08,508,509,500,507,3,122613,1.0019762845849802
372,000040,2019-01-09,506,515,502,512,5,297873,0.9980506822612085
373,000040,2019-01-10,513,519,509,518,6,138610,1.0
374,000040,2019-01-11,518,565,511,538,20,1603959,0.972875226039783
375,000040,2019-01-14,553,553,535,536,2,308785,0.9925925925925926
376,000040,2019-01-15,540,544,533,542,6,152609,0.9801084990958409
377,000040,2019-01-16,553,553,536,545,3,188090,0.9873188405797102
378,000040,2019-01-17,552,552,523,542,3,350869,1.0
379,000040,2019-01-18,542,545,524,531,11,270027,0.9943820224719101
380,000040,2019-01-21,534,540,525,532,1,194931,1.005671077504726
381,000040,2019-01-22,529,535,525,525,7,97138,1.0096153846153846
382,000040,2019-01-23,520,531,520,526,1,90607,1.0
383,000040,2019-01-24,526,537,522,530,4,130281,0.9906542056074766
384,000040,2019-01-25,535,535,525,535,5,242099,0.9981343283582089
385,000040,2019-01-28,536,547,534,546,11,192441,1.0
386,000040,2019-01-29,546,547,534,539,7,89325,0.9944649446494465
387,000040,2019-01-30,542,542,520,521,18,221265,1.0
388,000040,2019-01-31,521,532,516,528,7,154988,0.9924812030075187
389,000040,2019-02-01,532,533,522,532,4,124566,0.99812382739212
390,000040,2019-02-07,533,536,524,532,0,149466,1.0
391,000040,2019-02-08,532,534,527,533,1,84889,0.9962616822429906
392,000040,2019-02-11,535,541,533,538,5,175740,0.9944547134935305
393,000040,2019-02-12,541,544,536,541,3,136587,0.9944852941176471
394,000040,2019-02-13,544,544,534,535,6,79789,0.988909426987061
395,000040,2019-02-14,541,541,519,538,3,228857,1.0150943396226415
396,000040,2019-02-15,530,532,522,529,9,110185,1.0
397,000040,2019-02-18,529,532,519,528,1,162559,1.0
398,000040,2019-02-19,528,530,520,524,4,88505,1.0096339113680155
399,000040,2019-02-20,519,524,517,519,5,184577,0.9848197343453511
400,000040,2019-02-21,527,527,516,522,3,64652,1.0
401,000040,2019-02-22,522,524,516,518,4,61079,1.0
402,000040,2019-02-25,518,527,515,520,2,141515,1.0
403,000040,2019-02-26,520,527,518,520,0,104573,1.0
404,000040,2019-02-27,520,521,515,516,4,158788,1.0
405,000040,2019-02-28,516,518,505,507,9,225599,1.0079522862823063
406,000040,2019-03-04,503,510,501,508,1,126056,1.0
407,000040,2019-03-05,508,512,484,494,14,215368,1.0
408,000040,2019-03-06,494,499,491,495,1,105141,1.0
409,000040,2019-03-07,495,495,487,488,7,162021,1.0
410,000040,2019-03-08,488,496,479,494,6,171511,0.993963782696177
411,000040,2019-03-11,497,498,485,493,1,117642,1.0
412,000040,2019-03-12,493,497,489,496,3,91693,0.9939879759519038
413,000040,2019-03-13,499,500,488,492,4,112837,1.0040816326530613
414,000040,2019-03-14,490,494,487,488,4,54785,0.9959183673469387
415,000040,2019-03-15,490,492,476,480,8,228618,1.0
416,000040,2019-03-18,480,481,474,475,5,201284,0.9978991596638656
417,000040,2019-03-19,476,482,464,468,7,291891,1.0064516129032257
418,000040,2019-03-20,465,477,460,474,6,185288,1.0106609808102345
419,000040,2019-03-21,469,476,464,464,10,109730,0.9914529914529915
420,000040,2019-03-22,468,485,468,475,11,207487,1.0106382978723405
421,000040,2019-03-25,470,475,460,475,0,196024,0.9958071278825996
422,000040,2019-03-26,477,485,467,482,7,182668,0.9938144329896907
423,000040,2019-03-27,485,489,477,489,7,177179,1.0103305785123966
424,000040,2019-03-28,484,496,484,494,5,216086,1.0040650406504066
425,000040,2019-03-29,492,499,482,493,1,107473,1.0
426,000040,2019-04-01,493,501,480,497,4,193986,1.0
427,000040,2019-04-02,497,503,491,500,3,116439,1.002004008016032
428,000040,2019-04-03,499,505,480,499,1,306379,0.9940239043824701
429,000040,2019-04-04,502,505,495,498,1,117099,1.0020120724346075
430,000040,2019-04-05,497,518,494,517,19,377614,1.001937984496124
431,000040,2019-04-08,516,551,502,528,11,694473,1.0
432,000040,2019-04-09,528,530,519,530,2,190453,1.0
433,000040,2019-04-10,530,534,526,529,1,97274,0.9981132075471698
434,000040,2019-04-11,530,535,520,530,1,165875,1.0211946050096339
435,000040,2019-04-12,519,530,519,524,6,137116,1.0
436,000040,2019-04-15,524,528,493,505,19,1370821,0.9824902723735408
437,000040,2019-04-16,514,516,497,504,1,439199,1.008
438,000040,2019-04-17,500,510,498,507,3,154344,0.9941176470588236
